1;
1;24;
1;50;
1;50;24;
2;
2;3;
2;19;
2;21;
2;24;
2;26;
2;29;
2;41;
2;45;
2;49;
2;50;
2;25;
2;20;
2;22;
2;34;
2;15;
2;14;
2;1;
2;18;
2;32;
2;37;
2;28;
2;35;
2;16;
2;31;
2;40;
2;43;
2;46;
2;42;
2;36;
2;10;
2;44;
2;30;
2;39;
2;48;
2;17;
2;11;
3;
3;1;
3;14;
3;20;
3;22;
3;24;
3;29;
3;30;
3;34;
3;35;
3;39;
3;43;
3;45;
3;48;
3;49;
3;50;
3;42;
3;10;
3;17;
3;18;
3;25;
3;32;
3;36;
3;41;
3;11;
3;31;
3;44;
3;15;
3;46;
3;28;
3;26;
3;16;
3;40;
4;
4;1;
4;18;
4;34;
4;15;
4;14;
4;16;
4;44;
4;29;
4;35;
4;36;
4;40;
4;48;
4;45;
4;41;
4;30;
4;49;
4;24;
4;50;
5;
5;1;
5;20;
5;24;
5;25;
5;39;
5;28;
5;46;
5;42;
5;31;
5;32;
5;22;
5;15;
5;14;
5;10;
5;36;
5;43;
5;44;
5;34;
5;40;
5;26;
5;35;
5;19;
5;3;
5;11;
5;18;
5;16;
5;41;
5;29;
5;30;
5;48;
5;45;
5;49;
5;50;
6;
6;50;
6;16;
6;15;
6;14;
6;1;
6;35;
6;36;
6;40;
6;41;
6;32;
6;44;
6;29;
6;30;
6;45;
6;48;
6;49;
6;24;
7;
7;1;
7;10;
7;14;
7;32;
7;22;
7;44;
7;16;
7;15;
7;43;
7;40;
7;31;
7;29;
7;34;
7;48;
7;30;
7;45;
7;26;
7;41;
7;39;
7;36;
7;35;
7;20;
7;49;
7;24;
7;50;
8;
8;40;
8;1;
8;10;
8;14;
8;32;
8;22;
8;44;
8;16;
8;15;
8;43;
8;39;
8;28;
8;35;
8;41;
8;26;
8;36;
8;29;
8;31;
8;34;
8;30;
8;46;
8;18;
8;45;
8;48;
8;49;
8;24;
8;50;
9;
9;16;
9;31;
9;35;
9;41;
9;45;
9;17;
9;28;
9;22;
9;15;
9;14;
9;1;
9;42;
9;32;
9;44;
9;26;
9;34;
9;20;
9;36;
9;43;
9;39;
9;29;
9;18;
9;3;
9;48;
9;30;
9;46;
9;40;
9;10;
9;49;
9;24;
9;50;
10;
10;1;
10;14;
10;15;
10;16;
10;18;
10;24;
10;26;
10;29;
10;30;
10;31;
10;34;
10;35;
10;36;
10;40;
10;41;
10;43;
10;44;
10;45;
10;48;
10;49;
10;50;
10;1;14;
10;14;15;
10;1;34;
10;1;15;
10;15;36;
10;14;36;
10;1;36;
10;32;
10;15;40;
10;22;
10;14;41;
10;1;41;
10;1;44;
10;1;29;
10;29;14;
10;29;41;
10;29;44;
10;29;16;
10;29;15;
10;29;36;
10;30;14;
10;29;34;
10;29;30;
10;1;30;
10;41;15;
10;36;34;
10;1;45;
10;45;34;
10;1;48;
10;48;15;
10;48;34;
10;41;36;
10;45;36;
10;45;41;
10;45;30;
10;49;14;
10;1;49;
10;49;44;
10;49;16;
10;49;29;
10;49;30;
10;49;41;
10;49;45;
10;49;48;
10;24;1;
10;24;14;
10;24;15;
10;24;36;
10;24;22;
10;24;44;
10;24;29;
10;24;41;
10;24;40;
10;24;45;
10;24;48;
10;24;49;
10;50;32;
10;50;16;
10;50;15;
10;50;41;
10;50;14;
10;50;1;
10;50;36;
10;50;29;
10;50;30;
10;50;48;
10;50;45;
10;50;49;
10;50;24;
11;
11;10;
11;16;
11;18;
11;22;
11;24;
11;26;
11;28;
11;29;
11;30;
11;32;
11;34;
11;35;
11;39;
11;41;
11;43;
11;44;
11;48;
11;49;
11;50;
11;1;
11;15;
11;14;
11;46;
11;36;
